Codigo,Articulo,Unidad_de_Medida,Consumo
JA,JAMON FRANQUI,Kilogramo,3.16
JIBE,JAMON IBERICO,Kilogramo,0.22
KHD,SOBRES KETCHUP,Unidad,32.00
KIKAM,KIT KAT MIX,Kilogramo,0.13
LA33,LATA CERVEZA AMSTEL 33CC,Unidad,0
LAGR,LAYS SAL B.GRANDE 160GR,Unidad,0
LAPQ,LAYS SAL B.PEQ 44GR,Unidad,0
LASF,LATA CERVEZA EL AGUILA S FILTR,Unidad,0
LCAR,LATA CERVEZA AMSTEL RADLER,Unidad,0
LCB,LATA DE CERVEZA BUCKLER SIN AL,Unidad,1.00
LCC,LATA DE CERVEZA CRUZCAMPO,Unidad,1.00
LCCS,LATA CERVEZA CRUZCAMPO 0.0,Unidad,0
LCH,LATA DE CERVEZA HEINEKEN,Unidad,0
LDES,LATA DESPERADOS 50 CC,Unidad,1.00
LMEN,ZZ LATA MONSTER ENERGY,Unidad,0
LMML,ZZ LATA MONSTER MANGO LOCO,Unidad,0
LMUW,ZZ LATA MONSTER ULTRA WHITE,Unidad,0
LMZE,ZZ LATA MONSTER ZERO,Unidad,0
LRBG,LATA RED BULL ICE GUMMY 250 ML,Unidad,0
LRBR,LATA RED BULL 250 ML (ENERGY D,Unidad,1.00
LRBW,LATA RED BULL WATERMELON 250 M,Unidad,1.00
MAC4,TARRINA MACADAMIA 460 ML,Unidad,2.00
MAC9,TARRINA MACADAMIA 95 ML,Unidad,0
MCO17,MANTELES COLEGIOS 2017,Unidad,0
MHD,SOBRES MOSTAZA,Unidad,2.00
MIGAS,ZZ MIGAS,Kilogramo,0
MIKPZ,MIKOLAPIZ,Unidad,0
MOBIT,MOZZARELLA BITES,Kilogramo,0.67
MXFS,MIX FLORES SECAS 50GR,Gramo,2.00
NUGGET,NUGGETS,Kilogramo,0.28
ORE,OREGANO MOLIDO,Kilogramo,0.00
PAGM,ME PAPEL ANTIGRASA MENEO,Unidad,24.00
PAHCOM,PAPEL DE HORNO PARA COMPLEMENT,Unidad,0
PANT,PAPEL ANTIGRASA,Unidad,10.50
PANTRO,BACON ASADO TROCEADO 6X500GR,Kilogramo,0.12
PAXL,PAPEL ANTIGRASA XL,Unidad,3.00
PBB3,PAN BURGER BRIOCHE 30 UDS,Unidad,3.00
PE,PEPPERONI,Kilogramo,2.10
PEGM,PEGATINAS MINIS (TP),Unidad,0
PGL1,PEGATINA LUMINOSA TPZ 1,Unidad,1.00
PGL2,PEGATINA LUMINOSA TPZ 2,Unidad,0
PGTP,PATATAS GAJO (TP),Kilogramo,5.25
PI,PI?A,Kilogramo,0.91
PIKN,ME SALSA PICANTONA 32X45GR,Unidad,2.00
PKTAI,PASTA KATAIFI 500GR,Kilogramo,0
PMASD,PIMIENTO ASADO,Kilogramo,1.24
PNFCC,PAN FOCACCIA,Unidad,3.00
PS7U5,PET 7UP ZERO 500ML,Unidad,3.00
PSAL3,LATA AQUARADE LIMON ZERO,Unidad,0
PSAL5,PET AQUARADE LIMON ZERO 500ML,Unidad,0
PSAN5,PET AQUARADE NARANJA ZERO 500M,Unidad,1.00
PSAQN,LATA AQUARADE NARANJA ZERO,Unidad,1.00
PSKL5,PET KAS LIMON 500ML,Unidad,1.00
PSKLZ,LATA KAS LIMON,Unidad,0
PSKN1,PET KAS NARANJA 1L,Unidad,0
PSKN5,PET KAS NARANJA 500ML,Unidad,3.00
PSKNZ,LATA KAS NARANJA,Unidad,2.00
PSL7U,LATA 7UP ZERO,Unidad,0
PSLM5,PET LIPTON MANGO MARACUYA 500,Unidad,0
PSLT5,PET LIPTON ZERO 500ML,Unidad,8.00
PSLTZ,LATA LIPTON ZERO,Unidad,4.00
PSPR1,PET PEPSI REGULAR 1L,Unidad,5.00
PSPR3,LATA PEPSI REGULAR,Unidad,3.00
PSPR5,PET PEPSI REGULAR 500ML,Unidad,4.00
PSPZ1,PET PEPSI ZERO 1L,Unidad,0
PSPZ3,LATA PEPSI ZERO,Unidad,3.00
PSPZ5,PET PEPSI ZERO 500ML,Unidad,5.00
PUBE,YY PULLED BEEF,Kilogramo,0
PUPO,PULLED PORK REFRIGERADO 500GR,Kilogramo,0.73
PVN,PIMIENTO VERDE CONGELADO,Kilogramo,0.89
QCAB,QUESO CABRA,Kilogramo,0.81
QCHDNP,QUESO CHEDDAR NARANJA PICADO,Kilogramo,0.74
QCHLO,QUESO CHEDDAR LONCHAS,Kilogramo,0.14
QFCPJ,QUESO FUNDIDO IRL,Gramo,21.00
QPRO,QUESO PROVOLONE,Kilogramo,0.95
QRG,ZZ QUESO RALLADO GRATINAR,Kilogramo,0
QSBR,QUESO SBRINZ,Kilogramo,0.53
QTRU,QUESO TRUFADO 1 KG,Kilogramo,0.16
RINCHE,RING DE CHEDDAR,Kilogramo,0.42
RJGR,RUFFLES JAMON B.GRANDE 150GR,Unidad,0
RJPQ,RUFFLES JAMON B.PEQ 45GR,Unidad,0
RTB84,ROLLO TERMICO BLANCO,Unidad,0
SAC18,SOPORTE ARBOL CATALAN 18,Unidad,0
SAL6,ME SALSERA ECOP. 60 ML,Unidad,10.00
SBBQB,SALSA BARBACOA BOLSA,Kilogramo,5.86
SBREAP,SOBRES ACEITE PICANTE 300,Unidad,6.00
SC,TARRINA SALSA BARBACOA,Unidad,16.00
SCBU,SEPARADOR CAJA BURGER,Unidad,2.00
SCCE,ME SALSA CREMOSA CEBOLLINO,Unidad,1.00
SCCRE,STICK COOKIE &CREAM 80 ML,Unidad,0
SCHB,SALSA DE CHOCOLATE BOTELLA,Kilogramo,0.27
SEMA,SEMOLA MALTEADA 600 GR,Kilogramo,0.08
SERM,ME SERVILLETA KRAFT MENEO 30X4,Unidad,0
SHCL,SALCHICHA CLASSIC,Kilogramo,0.54
SIMPR,SERVILLETA IMPRESA 32X40 MAXIS,Unidad,0
SLCM,YY SALSA CURRY MANGO,Kilogramo,0
SLIME,SLIME,Unidad,0
SMAK,STICK MACADAMIA 80 ML,Unidad,0
SMAY,ME SALSA MAYO,Unidad,1.00
SMAYO,SALSA MAYONESA TRUFA 875ML,Kilogramo,0.08
SMED,ME SALSA MEDITERRANEA,Unidad,2.00
SMIE,ME SALSA MIEL MOSTAZA 32X40GR,Unidad,5.00
SORP,REGALO SORPRESA,Unidad,0
SPCMB,SEPARADOR COMBO 2022,Unidad,3.00
SPES,SALSA PESTO,Kilogramo,0
SPIST,SALSA DE PISTACHO BOTELLA,Kilogramo,0
SQUE,ME SALSA QUESABROSA,Unidad,2.00
SSTEAK,SALSA STEAK & GRILL,Kilogramo,0.07
STBP,SEPARADOR TELEPIBOX PEQUE?A,Unidad,0
STC4,TARRINA STRAW CHEESECAKE 460ML,Unidad,0
STRI,ME STRIPS DE POLLO 6X1KG,Kilogramo,1.96
T125,"ME TARRO 1,25 L HEGAHOGAR",Unidad,0
TAP6,ME TAPA SALSERA ECOP. 60 ML,Unidad,10.00
TCHC,TARR. STRAWBERRY CHEESECAKE 95,Unidad,0
TCHM,TOMATE CHERRY MITAD,Kilogramo,0.28
TKSALSA,SALSA KEBAB,Gramo,60.00
TMEM,TAPA METALICA ENVASE MINIS,Unidad,0
TMIMOS,TARRINA MIEL Y MOSTAZA,Unidad,7.00
TMOR,TARRINA DE MORCILLA,Kilogramo,0
TOMCNF,TOMATE CONFITADO CUBO,Kilogramo,0.13
TOME,"ME TORTILLA TRIGO 29,5 CM MENE",Unidad,1.00
TPADR,TAZAS PIZARRA,Unidad,0
TPOTI,TOPPING DE POLLO EN TIRAS,Kilogramo,3.59
TRINU,TRIPODE NUEVO,Unidad,0
TSCREM,TARRINA CREMOSA AL AJO,Unidad,2.00
TSIR,TRIANGULO SIRATCHA,Kilogramo,0.26
TTCM,TARRINA TOMATE CONFITADO,Unidad,3.00
YOFP,YOGIKIDS POUCH FRESA-PLATANO,Unidad,0
YOFR,YOGIKIDS POUCH FRESA,Unidad,0
